Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Question Context
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,18,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,8,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,60 plus,43,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,60 plus,28,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,60 plus,17,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,60 plus,8,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,60 plus,5,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,39,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,39,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,31,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,9,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,44,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Afghanistan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,49,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,24,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,10,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,10,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,52,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,18,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,8,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Algeria,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,10,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,24,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,48,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,9,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,28,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,49,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,60 plus,24,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,60 plus,44,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,60 plus,15,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,60 plus,5,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Argentina,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,60 plus,12,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,29,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,8,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,43,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,26,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,60 plus,40,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,60 plus,24,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,60 plus,18,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,60 plus,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Australia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,60 plus,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,56,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,15,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,24,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,54,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,19,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,22,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,2,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bangladesh,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,33,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,19,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,39,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,2,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,35,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,15,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,39,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,10,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Benin,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,47,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,36,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,13,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,51,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,34,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,5,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Bhutan,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,58,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,25,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,10,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,64,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,16,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,12,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Brazil,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
